location,size,total_sqft,bath,price
Somasundara Palya,3 BHK,1600,3,64
T.C PALYA,2 Bedroom,1200,2,79
Muneshwara Nagar,2 BHK,1230,2,48
 Devarachikkanahalli,2 BHK,1250,2,40
Kalena Agrahara,2 BHK,1325,2,76
7th Phase JP Nagar,3 BHK,1850,3,150
Kanakpura Road,1 BHK,525,,21.53
Basaveshwara Nagar,2 BHK,1200,2,65
Bull Temple Road,3 Bedroom,1350,2,140
Bommasandra,3 BHK,1260,3,49.36
Prashanth Nagar,3 BHK,1800,3,150
Suragajakkanahalli,3 Bedroom,11,3,74
Ardendale,2 BHK,1100,2,43.25
Harlur,2 BHK,1508,2,77
Sampigehalli,3 BHK,1592,3,75
Akshaya Nagar,2 BHK,1388,2,57
Electronic City Phase II,1 BHK,630,1,28.35
RMV,3 Bedroom,2000,3,365
Banashankari3rd stage bigbazar,3 BHK,1762,3,125
Bagalur Main Road,2 BHK,950,2,50
Kodihalli,4 BHK,3252,5,335
Magadi Road,2 BHK,1116,2,50
Narayanapura,2 BHK,1308,2,89.04
MS Pallya,3 BHK,1200,3,90
Binny Mills Employees Colony,4 Bedroom,1500,4,230
Bannerghatta Road,1 BHK,500,1,18.5
Hennur,2 BHK,1075,2,52
Chandapura,1 BHK,530,1,11.66
Bellandur,2 BHK,1205,2,66
5th Phase JP Nagar,2 BHK,1075,2,60
KR Puram,2 BHK,930,2,39
Balagere,2 BHK,1380,2,60
Hebbal,4 BHK,2483,5,212
Kodigehaali,2 BHK,1166,2,55
Bannerghatta Road,2 BHK,1050,2,65
Gopalapura,3 BHK,2023.71,3,275
Begur Road,2 BHK,1200,2,46.8
Lakshminarayana Pura,3 BHK,1600,2,108
Billekahalli,3 BHK,1935,3,110
8th Phase JP Nagar,1 BHK,451,1,29.9
Electronic City,3 BHK,1800,3,95
Jalahalli,3 BHK,1400,3,77
Hegde Nagar,3 BHK,1801,3,115
Mahadevpura,2 BHK,1451,2,90
Anekal,2 Bedroom,1200,1,36
Begur Road,2 BHK,1160,2,44
Kengeri,2 BHK,1000,2,25
Kanakpura Road,2 BHK,950,2,40
"Hoodi Circle, ",3 BHK,1629,3,79
Vijayanagar,3 BHK,1580,2,134
Vijayanagar,3 BHK,1826,3,121
7th Phase JP Nagar,2 BHK,1245,2,94
Raja Rajeshwari Nagar,2 BHK,1145,2,45.79
Sompura,2 BHK,825,2,33
Yeshwanthpur,3 BHK,1693,3,108
Electronics City Phase 1,2 BHK,1113.27,2,53
Ashirvad Colony,2 BHK,1460,2,58
Doddathoguru,2 BHK,1050,2,32
Dodda Nekkundi,2 BHK,1260,2,55
K N Extension,6 BHK,700,3,120
Hosur Road,2 BHK,1656,2,120
Chandapura,3 BHK,1208,3,45
Whitefield,3 BHK,1910,3,161
Whitefield,4 BHK,3252,4,230
Battarahalli,2 Bedroom,1200,2,65
Gokula Extension,4 BHK,1200,4,175
7th Phase JP Nagar,2 BHK,1175,2,82
Kamakshipalya,2 Bedroom,1000,2,165
Bannerghatta Road,4 Bedroom,1200,2,125
Rajaji Nagar,3 BHK,2390,3,410
Rajaji Nagar,7 BHK,12000,6,2200
Sultan Palaya,2 Bedroom,550,1,62
Kengeri,1 BHK,34.46Sq. Meter,1,18.5
Sanne Amanikere,2 BHK,1185,2,38
Kengeri,2 BHK,750,2,38
Mahalakshmi Layout,6 Bedroom,1200,7,250
Kanakpura Road,3 BHK,1550,3,64.5
Amco Colony,3 BHK,1760,3,88
Billekahalli,2 BHK,1125,2,62
Nagarbhavi,3 Bedroom,1350,3,150
Anandapura,2 Bedroom,1000,2,55
Bommasandra Industrial Area,2 BHK,1090,2,31.48
TC Palaya,2 Bedroom,1200,2,60
Budigere,3 BHK,1991,4,103
Bommasandra,2 BHK,1060,2,26.5
Ambalipura,2 BHK,1105,2,75
Hoodi,2 BHK,985,2,67
Chandapura,6 Bedroom,1533,5,85
Balagere,3 BHK,1590,3,79
CV Raman Nagar,2 BHK,1120,2,55
Samethanahalli,2 BHK,1069,2,55
Marathahalli,3 BHK,1933,3,140
Hosur Road,2 BHK,1194,2,69
Brookefield,2 BHK,1150,2,69
Yelenahalli,2 BHK,1240,2,47.12
Raja Rajeshwari Nagar,2 BHK,1419,2,48.1
7th Phase JP Nagar,8 Bedroom,1200,8,250
Richmond Town,3 BHK,2150,4,240
Suddaguntepalya,3 BHK,1450,3,55
Udayapur Village,3 BHK,1630,3,68.29
Dasanapura,2 BHK,708,1,40
Kasavanhalli,3 Bedroom,1000,4,110
Whitefield,4 Bedroom,11890,4,700
Bellandur,2 BHK,1250,2,76
7th Phase JP Nagar,3 BHK,1400,2,95
Sarjapur  Road,3 BHK,1670,2,57
Ardendale,3 BHK,1750,3,100
Vittasandra,2 BHK,1404,2,71
Hoodi,3 BHK,1715,2,95
Electronic City,1 BHK,630,1,34.65
Harlur,3 BHK,1752.12,3,135
Hulimavu,3 BHK,1650,3,78
Raja Rajeshwari Nagar,2 BHK,1295,2,55.47
Giri Nagar,3 Bedroom,1800,3,252
Sarjapur  Road,2 BHK,1346,2,74.03
Thippasandra,4 Bedroom,1200,4,200
Hormavu,2 BHK,1150,2,55
Chikkabidarakallu,4 Bedroom,3309,4,325
Chandapura,3 BHK,1190,2,30.35
AECS Layout,3 BHK,1620,3,98
Marathahalli,2 BHK,950,2,46.96
1 Giri Nagar,11 BHK,5000,9,360
Harlur,3 BHK,2450,3,120
Electronic City Phase II,3 BHK,1220,2,35.23
Hoysalanagar,2 BHK,850,2,30
Padmanabhanagar,2 BHK,1020,2,63
Chikkalasandra,2 BHK,1100,2,50
Defence Colony,2 BHK,1150,2,126
Hebbal,3 BHK,1760,2,130
Ambalipura,3 BHK,1800,3,110
Akshaya Nagar,2 BHK,1070,2,54
2nd Stage Nagarbhavi,4 Bedroom,1500,4,220
Vidyaranyapura,2 Bedroom,1440,2,95
Amruthahalli,2 BHK,900,2,40
ITI Employees Layout,4 BHK,1200,4,230
Whitefield,2 BHK,1130,2,42.16
Koramangala,2 BHK,1320,2,165
Kodigehalli,2 BHK,1270,2,98
Patelappa Layout,2 BHK,1200,2,62
Ring Road Nagarbhavi,4 BHK,4800,4,235
NS Palya,2 BHK,1200,2,74
Subramanyapura,2 BHK,929,2,50.17
RMV 2nd Stage,4 BHK,1150,4,260
Basavangudi,4 Bedroom,1125,4,180
Kenchenahalli,5 Bedroom,500,3,65
3rd Block Hrbr Layout,5 Bedroom,1200,5,190
KUDLU MAIN ROAD,3 BHK,1464,3,56
7th Phase JP Nagar,4 BHK,3600,4,400
Bank Avenue,4 Bedroom,2000,4,99
Chikkalasandra,2 BHK,1208,2,49
Hebbal Kempapura,2 BHK,1130,2,60
Surabhi Layout,3 BHK,1753,3,120
Old Madras Road,5 BHK,4500,7,337
Banjara Layout,3 Bedroom,600,3,58
Hoodi,2 BHK,1196,2,94.42
5th Phase JP Nagar,2 BHK,1150,3,52.5
Electronic City,2 BHK,1128,2,63
Omkar Nagar,2 BHK,1000,2,53
Yelahanka,2 BHK,1035,2,45
Kereguddadahalli,2 BHK,950,2,32
Bisuvanahalli,3 BHK,1075,2,36
Whitefield,2 BHK,1040,2,48.5
Maragondanahalli,2 Bedroom,720,2,45
Lingadheeranahalli,3 BHK,1511,3,95
Silk Board,3 BHK,1300,3,58
Hoodi,3 BHK,1545,3,68.75
Shampura,1 BHK,375,2,26
Vidyaranyapura,2 BHK,1062,2,38
Kada Agrahara,2 BHK,1115,2,40
JP Nagar,2 BHK,1000,2,35
Kambipura,2 BHK,883,2,45
Sarjapur  Road,2 BHK,1195,2,70
BHEL Layout,4 Bedroom,1200,3,165
Medahalli,1 Bedroom,700,1,41
Vittasandra,2 BHK,1246,2,67
8th Phase JP Nagar,4 Bedroom,660,4,90
Banashankari Stage III,4 Bedroom,8500,4,145
Kashi Nagar,4 BHK,1600,4,80
Haralur Road,4 BHK,2805,5,154
Begur Road,3 BHK,1584,3,65
Sector 7 HSR Layout,4 Bedroom,3000,5,275
Hosur Road,3 BHK,1175,2,48
"Yemlur, Old Airport Road, ",3 BHK,1595,3,115
VHBCS Layout,2 BHK,1353,2,110
Electronic City,3 BHK,1599,3,125
Whitefield,2 BHK,1150,2,70
Jakkur,4 BHK,5230,6,465
KR Puram,2 BHK,1155,2,42.74
Ittamadu,1 BHK,1200,2,85
Electronic City Phase II,2 BHK,1000,2,25
Thanisandra,4 BHK,3000,4,120
Rajiv Nagar,3 BHK,1867,3,160
Ramagondanahalli,2 BHK,1251,2,47
Gattahalli,2 BHK,1028,2,45.5
Arekere,2 BHK,1222,2,45
Bannerghatta Road,3 BHK,1170,2,66
Hebbal,3 BHK,2400,4,245
Ramanjaneyanagar,3 BHK,1385,2,48.48
HSR Layout,2 BHK,1372,2,68
Magadi Road,3 BHK,1282,2,49
Mico Layout,9 BHK,5000,9,210
7th Block Jayanagar,5 Bedroom,3000,3,528
Kanakpura Road,2 BHK,1135,2,39.73
Whitefield,3 BHK,1768,3,101
Byatarayanapura,3 BHK,1325,2,90
Electronic City,3 BHK,1599,3,99
Whitefield,3 Bedroom,1500,3,61.95
2nd Phase JP Nagar,3 Bedroom,2610,3,499
Uttarahalli,2 BHK,1286,2,63
Kammanahalli,5 BHK,2845,5,140
K G Colony,3 BHK,1600,2,50
Hennur Road,2 BHK,1195 - 1440,2,63.77
Hebbal,3 BHK,3450,5,260
Munnekollal,2 BHK,1102,2,53.67
Yelahanka,2 BHK,1350,2,54
Banashankari,3 BHK,1200,2,42
Hosa Road,6 Bedroom,1300,6,145
Herohalli,2 Bedroom,1800,1,80
Chikkabanavar,2 BHK,950,2,40
Kanakpura Road,1 BHK,525,1,27.25
Attibele,2 BHK,656,2,25
Marathahalli,4 Bedroom,1780,4,175
3rd Block Hrbr Layout,2 BHK,1056,2,80
Bannerghatta Road,1 BHK,595,1,33.32
Ittamadu,2 BHK,1080,2,50
7th Phase JP Nagar,3 BHK,2225,3,160
Bommasandra,2 BHK,1126,2,28.15
Electronics City Phase 1,3 BHK,1490,3,84
HRBR Layout,4 Bedroom,2000,4,300
Sarjapur  Road,3 BHK,1550,3,100
,3 BHK,1600,3,86
Ashwini layout,2 BHK,1160,2,55
Whitefield,4 Bedroom,4144,4,315
Sarjapur  Road,3 BHK,2100,3,125
Vittasandra,2 BHK,1404,2,69.3
Sarjapur  Road,4 Bedroom,2230,4,225
Marathalli bridge,3 BHK,1544,3,120
Banashankari Stage III,3 BHK,1305,2,58.7
Marathahalli,2 BHK,1230,2,80
T.C PALYA,2 Bedroom,1200,2,65
Harlur,3 BHK,1460,3,73
Sarjapur  Road,,1200 - 2400,,34.185
Gottigere,2 BHK,967,2,45
Byatarayanapura,1 Bedroom,540,1,36
Hormavu,1 BHK,715,1,46
Whitefield,3 BHK,2500,3,313
Dooravani Nagar,3 BHK,1578,3,180
Mysore Road,2 BHK,1020,2,48.95
Jigani,2 BHK,1020,2,40
Koramangala,2 BHK,1253,2,102
JCR Layout,2 BHK,1180,2,42
Nehru Nagar,2 BHK,961,2,38
Kanakapura,3 BHK,1419,3,75
Harlur,3 BHK,1709,3,150
Papareddipalya,2 Bedroom,1600,2,115
Venkatapura,1 BHK,416,1,18.5
Sanjay nagar,2 BHK,1100,2,98
HSR Layout,3 BHK,1430,2,65
Sneha Colony,2 BHK,1260,2,45
RMV Extension,3 BHK,1630,3,85
Sarjapur  Road,3 BHK,1249,3,44.71
Kalena Agrahara,3 BHK,1450,2,85
Konanakunte,3 BHK,2791,3,223
Hosapalya,1 BHK,600,1,90
Ashwini layout,1 BHK,834,1,60
Doddagubbi,3 Bedroom,1125,4,70
Arekere,3 BHK,2060,3,140
Malleshwaram,7 BHK,12000,7,2200
Gottigere,2 BHK,891,2,25
Raja Rajeshwari Nagar,2 BHK,1133,2,49.07
Bisuvanahalli,3 BHK,1075,2,37
Sector 6 HSR Layout,4 BHK,3000,5,260
Brookefield,4 Bedroom,2440,5,425
Vidyaranyapura,2 BHK,1200,2,55
Thanisandra,2 BHK,1075,2,45.8
Kaggadasapura,2 BHK,1140,2,40
Margondanahalli,5 Bedroom,940,4,150
ITI Layout,6 Bedroom,2160,5,250
Raja Rajeshwari Nagar,2 BHK,1090,2,42
R.T. Nagar,4 Bedroom,1500,4,70
Whitefield,4 BHK,4104,4,360
Whitefield,3 BHK,1790,3,100
Hebbal,3 BHK,1920,3,134
HRBR Layout,2 BHK,1374,2,95
Bannerghatta Road,3 BHK,1445,3,95
Kanakapura,1 BHK,711,1,36
Tumkur Road,3 BHK,1500,3,95
Whitefield,3 BHK,1720,3,100
Vasanthapura,3 BHK,1400,3,60
Kundalahalli,2 BHK,1030,2,49
Mysore Road,2 BHK,1200,2,85
Hosahalli,3 BHK,1375,3,70
Hegde Nagar,2 Bedroom,1050,1,56
Jalahalli,3 BHK,2250,3,160
