STUDENT_ID,GENDER,PLACEMENT,HONOR_OPTED_OR_NOT,EDUCATION_TYPE,ACADEMIC_PROGRAM,COURSE 1 MARKS,COURSE 2 MARKS,COURSE 3 MARKS,COURSE 4 MARKS,COURSE 5 MARKS,PERCENTILE,OVEARLL_GRADE
SB11201210048818,M,Yes,Yes,ACADEMIC,,83,,3,86,42,54,FIRST CLASS
SB11201210048827,F,No,Yes,ACADEMIC,CIVIL ENGINEERING,100,59,80,77,51,86,FIRST CLASS
SB11201210048937,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,40,13,77,85,41,56,FIRST CLASS
SB11201210048989,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,89,81,99,97,75,97,THIRD CLASS
SB11201210051179,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,75,93,86,50,2,65,FIRST CLASS
SB11201210051419,F,No,No,ACADEMIC,INDUSTRIAL ENGINEERING,97,77,88,75,62,89,FIRST CLASS
SB11201210053261,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,98,83,60,100,79,95,THIRD CLASS
SB11201210053277,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,96,45,42,97,,85,THIRD CLASS
SB11201210053329,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,96,80,83,100,29,93,THIRD CLASS
SB11201210053371,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,91,88,98,81,98,THIRD CLASS
SB11201210053386,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,88,1,25,94,94,64,FIRST CLASS
SB11201210053432,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,100,95,34,99,12,88,FIRST CLASS
SB11201210053437,M,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,78,58,70,76,38,71,FIRST CLASS
SB11201210053537,M,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,92,84,73,97,90,95,THIRD CLASS
SB11201210053568,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,67,11,49,82,74,61,FIRST CLASS
SB11201210053574,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,89,9,8,58,59,39,FIRST CLASS
SB11201210053786,F,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,46,25,5,86,19,32,FIRST CLASS
SB11201210053799,F,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING,100,93,65,91,27,91,THIRD CLASS
SB11201210053825,F,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,12,33,51,61,52,37,FIRST CLASS
SB11201210053890,M,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING,98,100,89,100,93,100,THIRD CLASS
SB11201210053912,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,72,91,72,93,71,89,FIRST CLASS
SB11201210054706,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,83,91,100,100,93,99,THIRD CLASS
SB11201210054712,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,67,75,78,96,67,87,THIRD CLASS
SB11201210054864,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,97,3,8,44,12,23,FIRST CLASS
SB11201210054887,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,100,99,10,85,71,88,SECOND CLASS
SB11201210055143,F,No,No,ACADEMIC,INDUSTRIAL ENGINEERING,35,1,2,8,62,5,FIRST CLASS
SB11201210055580,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,61,20,11,18,49,24,FIRST CLASS
SB11201210056012,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,100,81,98,87,80,97,FIRST CLASS
SB11201210056040,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,84,81,88,98,54,91,THIRD CLASS
SB11201210056461,M,Yes,Yes,ACADEMIC,CHEMICAL ENGINEERING,82,33,22,76,71,61,THIRD CLASS
SB11201210056474,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,92,85,23,95,95,89,THIRD CLASS
SB11201210056571,M,Yes,No,ACADEMIC,MECHANICAL ENGINEERING,93,98,93,98,76,98,THIRD CLASS
SB11201210056780,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,47,35,43,93,34,59,THIRD CLASS
SB11201210057000,M,Yes,Yes,ACADEMIC,CHEMICAL ENGINEERING,100,86,100,98,98,100,THIRD CLASS
SB11201210057063,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,90,51,68,90,88,87,THIRD CLASS
SB11201210057105,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,95,98,97,100,34,98,THIRD CLASS
SB11201210057316,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,91,97,93,96,86,98,THIRD CLASS
SB11201210057738,F,No,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,59,53,25,38,3,26,FIRST CLASS
SB11201210057801,F,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,91,93,88,97,78,96,FIRST CLASS
SB11201210057900,M,Yes,Yes,TECHNICAL/ACADEMIC,MECHANICAL ENGINEERING,99,66,97,100,80,98,THIRD CLASS
SB11201210057946,M,Yes,Yes,ACADEMIC,AERONAUTICAL ENGINEERING,95,70,1,99,96,83,FIRST CLASS
SB11201210058206,F,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,99,85,95,96,64,97,THIRD CLASS
SB11201210058706,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,98,90,20,92,85,89,THIRD CLASS
SB11201210058734,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,83,99,100,98,86,99,FIRST CLASS
SB11201210058839,M,Yes,Yes,ACADEMIC,CHEMICAL ENGINEERING,98,95,71,94,36,92,THIRD CLASS
SB11201210058850,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,18,16,1,18,23,6,FIRST CLASS
SB11201210058879,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,78,51,54,60,33,59,FIRST CLASS
SB11201210058989,M,No,Yes,ACADEMIC,MECHATRONICS ENGINEERING,81,79,62,61,6,61,FIRST CLASS
SB11201210059017,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,93,78,1,96,96,80,THIRD CLASS
SB11201210059108,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,98,89,62,100,41,92,THIRD CLASS
SB11201210059903,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,51,40,20,22,71,39,FIRST CLASS
SB11201210060051,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,88,77,78,92,32,85,THIRD CLASS
SB11201210060069,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,100,99,94,100,60,100,THIRD CLASS
SB11201210071393,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,84,59,82,98,29,84,THIRD CLASS
SB11201210071483,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,87,93,81,95,98,97,THIRD CLASS
SB11201210071503,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,75,76,12,97,77,78,THIRD CLASS
SB11201210071542,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,100,80,95,98,98,99,THIRD CLASS
SB11201210077469,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,87,61,40,97,79,84,FIRST CLASS
SB11201210081023,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,100,81,11,93,83,88,FIRST CLASS
SB11201210081048,F,No,No,ACADEMIC,INDUSTRIAL AUTOMATIC ENGINEERING,98,95,28,83,19,80,DISTINCTION
SB11201210081170,M,Yes,Yes,TECHNICAL/ACADEMIC,ELECTRONIC ENGINEERING,77,57,70,79,100,97,FIRST CLASS
SB11201210082710,F,Yes,No,TECHNICAL,INDUSTRIAL ENGINEERING,75,71,61,67,94,82,FIRST CLASS
SB11201210085748,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,62,37,26,88,3,41,SECOND CLASS
SB11201210085752,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,100,97,94,99,96,100,FIRST CLASS
SB11201210085778,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,59,34,29,83,37,51,THIRD CLASS
SB11201210085786,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,100,87,90,83,66,96,THIRD CLASS
SB11201210085819,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,71,73,57,77,56,74,THIRD CLASS
SB11201210085842,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,75,22,32,97,65,69,THIRD CLASS
SB11201210085909,F,Yes,Yes,ACADEMIC,CHEMICAL ENGINEERING,69,98,98,97,95,98,THIRD CLASS
SB11201210085995,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,98,99,98,39,98,THIRD CLASS
SB11201210086016,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,99,82,59,100,54,93,THIRD CLASS
SB11201210086380,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,80,32,65,73,77,73,FIRST CLASS
SB11201210087411,M,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,28,10,7,10,0,1,FIRST CLASS
SB11201210088079,F,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,48,53,83,55,15,55,SECOND CLASS
SB11201210088391,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,60,6,14,41,88,35,DISTINCTION
SB11201210088475,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,92,88,94,96,70,95,THIRD CLASS
SB11201210088720,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,93,100,100,67,100,THIRD CLASS
SB11201210089343,F,No,Yes,ACADEMIC,ELECTRONIC ENGINEERING,61,57,81,65,32,66,FIRST CLASS
SB11201210089840,M,Yes,Yes,TECHNICAL,CIVIL ENGINEERING,99,98,78,99,18,95,FIRST CLASS
SB11201210090046,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,98,51,6,72,23,55,FIRST CLASS
SB11201210091075,F,No,No,ACADEMIC,CIVIL ENGINEERING,20,46,45,17,34,28,FIRST CLASS
SB11201210092713,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,79,40,98,79,92,FIRST CLASS
SB11201210093797,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,98,92,85,94,83,97,FIRST CLASS
SB11201210094432,M,Yes,Yes,ACADEMIC,CHEMICAL ENGINEERING,88,79,53,62,62,75,SECOND CLASS
SB11201210094555,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,83,50,74,75,73,79,SECOND CLASS
SB11201210094776,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,59,33,35,34,46,39,DISTINCTION
SB11201210096306,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,6,37,21,8,14,8,FIRST CLASS
SB11201210096917,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,76,31,64,86,47,69,THIRD CLASS
SB11201210097802,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,99,74,99,86,88,97,THIRD CLASS
SB11201210098095,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,97,94,89,85,3,86,FIRST CLASS
SB11201210098956,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,98,74,35,100,59,89,THIRD CLASS
SB11201210100306,F,No,No,TECHNICAL,INDUSTRIAL ENGINEERING,89,94,1,61,73,88,SECOND CLASS
SB11201210100368,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,32,31,36,38,7,20,FIRST CLASS
SB11201210101239,F,No,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,58,51,15,55,20,36,SECOND CLASS
SB11201210101354,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,26,5,50,35,70,30,FIRST CLASS
SB11201220000358,M,No,No,ACADEMIC,,72,80,9,7,48,38,FIRST CLASS
SB11201220001169,F,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,56,44,15,61,60,45,FIRST CLASS
SB11201220001174,F,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING,36,58,10,66,88,52,FIRST CLASS
SB11201220001265,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,3,49,54,70,86,51,FIRST CLASS
SB11201220001428,M,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,,69,40,76,88,80,FIRST CLASS
SB11201220001583,M,Yes,Yes,TECHNICAL/ACADEMIC,MECHANICAL ENGINEERING,93,90,97,99,21,95,FIRST CLASS
SB11201220001673,F,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,93,91,25,81,31,75,FIRST CLASS
SB11201220001963,F,Yes,Yes,TECHNICAL/ACADEMIC,ELECTRIC ENGINEERING,54,42,60,57,,63,FIRST CLASS
SB11201220002028,,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,69,61,1,1,81,2,FIRST CLASS
SB11201220002045,M,Yes,Yes,TECHNICAL,CIVIL ENGINEERING,42,13,53,78,41,45,FIRST CLASS
SB11201220002051,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,97,71,91,61,24,82,FIRST CLASS
SB11201220002151,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,50,69,58,,27,58,FIRST CLASS
SB11201220002188,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,63,26,79,100,97,FIRST CLASS
SB11201220002193,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,49,53,94,70,87,FIRST CLASS
SB11201220002194,M,No,No,ACADEMIC,ELECTRIC ENGINEERING,82,31,27,58,63,54,FIRST CLASS
SB11201220002195,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,96,61,104,51,49,69,FIRST CLASS
SB11201220002462,F,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,88,86,61,74,87,87,FIRST CLASS
SB11201220002513,M,Yes,Yes,TECHNICAL,CIVIL ENGINEERING,64,43,8,33,44,31,FIRST CLASS
SB11201220002605,F,Yes,No,ACADEMIC,ELECTRIC ENGINEERING,49,59,40,66,0,12,FIRST CLASS
SB11201220002739,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,11,62,81,68,80,65,FIRST CLASS
SB11201220002820,M,Yes,Yes,TECHNICAL,MECHANICAL ENGINEERING,85,78,28,45,28,57,FIRST CLASS
SB11201220002969,M,No,No,ACADEMIC,ELECTRIC ENGINEERING,99,80,89,87,1,81,FIRST CLASS
SB11201220003632,M,No,Yes,ACADEMIC,MECHANICAL ENGINEERING,29,33,53,69,1,26,FIRST CLASS
SB11201220003940,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,76,25,48,80,0,16,FIRST CLASS
SB11201220004052,M,No,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,60,8,43,75,86,57,FIRST CLASS
SB11201220004180,F,Yes,Yes,TECHNICAL/ACADEMIC,MECHANICAL ENGINEERING,80,82,72,55,13,67,FIRST CLASS
SB11201220004189,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,69,7,22,22,57,28,FIRST CLASS
SB11201220004207,M,No,Yes,ACADEMIC,ELECTRIC ENGINEERING,96,83,85,37,93,89,FIRST CLASS
SB11201220004298,M,Yes,No,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,65,49,64,47,23,53,FIRST CLASS
SB11201220004745,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,38,70,83,73,42,68,FIRST CLASS
SB11201220004909,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,78,12,38,20,34,33,FIRST CLASS
SB11201220004934,F,No,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,93,96,82,75,62,90,FIRST CLASS
SB11201220004969,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,94,70,76,36,50,74,FIRST CLASS
SB11201220005023,F,Yes,Yes,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,99,,54,95,89,96,FIRST CLASS
SB11201220005097,F,,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,85,49,62,79,107,72,FIRST CLASS
SB11201220005109,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,90,79,61,92,11,78,FIRST CLASS
SB11201220005303,M,No,Yes,TECHNICAL/ACADEMIC,MECHANICAL ENGINEERING,97,18,30,84,45,64,FIRST CLASS
SB11201220005372,F,Yes,Yes,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,95,50,76,55,54,74,FIRST CLASS
SB11201220005413,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,99,94,88,91,100,99,FIRST CLASS
SB11201220005416,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,23,1,6,67,0,1,FIRST CLASS
SB11201220005434,F,Yes,Yes,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,74,46,87,81,18,71,FIRST CLASS
SB11201220005447,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,35,16,42,40,13,22,FIRST CLASS
SB11201220005560,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,54,55,30,58,90,62,FIRST CLASS
SB11201220005565,F,Yes,Yes,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,95,62,82,53,94,87,FIRST CLASS
SB11201220005603,F,Yes,Yes,,INDUSTRIAL ENGINEERING,98,86,23,98,44,86,FIRST CLASS
SB11201220005791,M,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,88,67,37,52,71,69,FIRST CLASS
SB11201220005867,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,89,96,88,91,,92,FIRST CLASS
SB11201220005873,,Yes,Yes,ACADEMIC,MECHATRONICS ENGINEERING,93,97,93,88,0,66,FIRST CLASS
SB11201220005879,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,,100,82,98,48,97,FIRST CLASS
SB11201220005881,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,52,62,8,74,42,45,FIRST CLASS
SB11201220006081,M,Yes,No,TECHNICAL/ACADEMIC,ELECTRONIC ENGINEERING,99,33,81,64,78,83,FIRST CLASS
SB11201220006425,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,87,37,19,39,50,45,FIRST CLASS
SB11201220006429,M,Yes,Yes,TECHNICAL/ACADEMIC,MECHANICAL ENGINEERING,97,79,74,67,13,76,FIRST CLASS
